season,team_id,player_id,player_name,role_in_squad,is_overseas
2026,IPL_T20_KKR,PLY_0467,Rahul Tripathi,Batter,0
2026,IPL_T20_KKR,PLY_0120,Cameron Green,Allrounder,1
2026,IPL_T20_KKR,PLY_0715,,Allrounder,0
2026,IPL_T20_KKR,PLY_0604,Sunil Narine,Allrounder,1
2026,IPL_T20_KKR,PLY_0460,Rachin Ravindra,Allrounder,1
2026,IPL_T20_KKR,PLY_0069,Anukul Roy,Allrounder,0
2026,IPL_T20_KKR,PLY_0651,Vaibhav Arora,Bowler,0
2026,IPL_T20_KKR,PLY_0716,Saurabh Dube,Bowler,0
2026,IPL_T20_KKR,PLY_0293,Kartik Tyagi,Bowler,0
2026,IPL_T20_KKR,PLY_0717,Blessing Muzarabani,Bowler,1
2026,IPL_T20_KKR,PLY_0718,Matheesha Pathirana,Bowler,1
2026,IPL_T20_KKR,PLY_0408,Navdeep Saini,Bowler,0
2026,IPL_T20_KKR,PLY_0719,Prashant Solanki,Bowler,0
2026,IPL_T20_KKR,PLY_0645,Umran Malik,Bowler,0
2026,IPL_T20_KKR,PLY_0654,Varun Chakaravarthy,Bowler,0
2026,IPL_T20_LSG,PLY_0495,Rishabh Pant,Wicketkeeper,0
2026,IPL_T20_LSG,PLY_0005,Abdul Samad,Batter,0
2026,IPL_T20_LSG,PLY_0720,Akshat Raghuwanshi,Batter,0
2026,IPL_T20_LSG,PLY_0090,Ayush Badoni,Batter,0
2026,IPL_T20_LSG,PLY_0358,Matthew Breetzke,Batter,1
2026,IPL_T20_LSG,PLY_0721,Mukul Choudhary,Batter,0
2026,IPL_T20_LSG,PLY_0722,Himmat Singh,Batter,0
2026,IPL_T20_LSG,PLY_0274,Josh Inglis,Wicketkeeper,1
2026,IPL_T20_LSG,PLY_0026,Aiden Markram,Batter,1
2026,IPL_T20_LSG,PLY_0413,Nicholas Pooran,Wicketkeeper,1
2026,IPL_T20_LSG,PLY_0672,Wanindu Hasaranga,Allrounder,1
2026,IPL_T20_LSG,PLY_0077,Arshin Atul Kulkarni,Allrounder,0
2026,IPL_T20_LSG,PLY_0371,Mitchell Marsh,Allrounder,1
2026,IPL_T20_LSG,PLY_0541,Shahbaz Ahmed,Allrounder,0
2026,IPL_T20_LSG,PLY_0723,Akash Singh,Bowler,0
2026,IPL_T20_LSG,PLY_0088,Avesh Khan,Bowler,0
2026,IPL_T20_LSG,PLY_0382,Mohammad Shami,Bowler,0
2026,IPL_T20_LSG,PLY_0388,Mohsin Khan,Bowler,0
2026,IPL_T20_LSG,PLY_0066,Anrich Nortje,Bowler,1
2026,IPL_T20_LSG,PLY_0452,Prince Yadav,Bowler,0
2026,IPL_T20_LSG,PLY_0724,Digvesh Rathi,Bowler,0
2026,IPL_T20_LSG,PLY_0725,Manimaran Siddharth,Bowler,0
2026,IPL_T20_LSG,PLY_0073,Arjun Tendulkar,Bowler,0
2026,IPL_T20_LSG,PLY_0726,Naman Tiwari,Bowler,0
2026,IPL_T20_LSG,PLY_0727,Mayank Yadav,Bowler,0
2026,IPL_T20_MI,PLY_0458,Quinton de Kock,Wicketkeeper,1
2026,IPL_T20_MI,PLY_0728,Danish Malewar,Batter,0
2026,IPL_T20_MI,PLY_0499,Robin Minz,Wicketkeeper,0
2026,IPL_T20_MI,PLY_0514,Ryan Rickelton,Wicketkeeper,1
2026,IPL_T20_MI,PLY_0562,Sherfane Rutherford,Batter,1
2026,IPL_T20_MI,PLY_0505,Rohit Sharma,Batter,0
2026,IPL_T20_MI,PLY_0610,Suryakumar Yadav,Batter,0
2026,IPL_T20_MI,PLY_0214,Hardik Pandya,Allrounder,0
2026,IPL_T20_MI,PLY_0729,Atharva Ankolekar,Allrounder,0
2026,IPL_T20_MI,PLY_0730,Raj Bawa,Allrounder,0
2026,IPL_T20_MI,PLY_0140,Corbin Bosch,Allrounder,1
2026,IPL_T20_MI,PLY_0678,Will Jacks,Allrounder,1
2026,IPL_T20_MI,PLY_0731,Mayank Rawat,Allrounder,0
2026,IPL_T20_MI,PLY_0402,Naman Dhir,Allrounder,0
2026,IPL_T20_MI,PLY_0373,Mitchell Santner,Allrounder,1
2026,IPL_T20_MI,PLY_0555,Shardul Thakur,Allrounder,0
2026,IPL_T20_MI,PLY_0625,Tilak Varma,Allrounder,0
2026,IPL_T20_MI,PLY_0732,Ashwani Kumar,Bowler,0
2026,IPL_T20_MI,PLY_0637,Trent Boult,Bowler,1
2026,IPL_T20_MI,PLY_0256,Jasprit Bumrah,Bowler,0
2026,IPL_T20_MI,PLY_0163,Deepak Chahar,Bowler,0
2026,IPL_T20_MI,PLY_0733,AM Ghazanfar,Bowler,1
2026,IPL_T20_MI,PLY_0363,Mayank Markande,Bowler,0
2026,IPL_T20_MI,PLY_0734,Mohd Izhar,Bowler,0
2026,IPL_T20_MI,PLY_0464,Rahul Sharma,Bowler,0
2026,IPL_T20_PBKS,PLY_0577,Shreyas Iyer,Batter,0
2026,IPL_T20_PBKS,PLY_0456,Priyansh Arya,Batter,0
2026,IPL_T20_PBKS,PLY_0735,Pyla Avinash,Batter,0
2026,IPL_T20_PBKS,PLY_0736,Harnoor Singh,Batter,0
2026,IPL_T20_PBKS,PLY_0440,Prabhsimran Singh,Wicketkeeper,0
2026,IPL_T20_PBKS,PLY_0669,Vishnu Vinod,Wicketkeeper,0
2026,IPL_T20_PBKS,PLY_0411,Nehal Wadhera,Batter,0
2026,IPL_T20_PBKS,PLY_0094,Azmatullah Omarzai,Allrounder,1
2026,IPL_T20_PBKS,PLY_0737,Cooper Connolly,Allrounder,1
2026,IPL_T20_PBKS,PLY_0351,Marco Jansen,Allrounder,1
2026,IPL_T20_PBKS,PLY_0738,Musheer Khan,Allrounder,0
2026,IPL_T20_PBKS,PLY_0352,Marcus Stoinis,Allrounder,1
2026,IPL_T20_PBKS,PLY_0611,Suryansh Shedge,Allrounder,0
2026,IPL_T20_PBKS,PLY_0076,Arshdeep Singh,Bowler,0
2026,IPL_T20_PBKS,PLY_0680,Xavier Bartlett,Bowler,1
2026,IPL_T20_PBKS,PLY_0693,Yuzvendra Chahal,Bowler,0
2026,IPL_T20_PBKS,PLY_0446,Praveen Dubey,Bowler,0
2026,IPL_T20_PBKS,PLY_0739,Ben Dwarshuis,Bowler,1
2026,IPL_T20_PBKS,PLY_0328,Lockie Ferguson,Bowler,1
2026,IPL_T20_PBKS,PLY_0218,Harpreet Brar,Bowler,0
2026,IPL_T20_PBKS,PLY_0740,Vishal Nishad,Bowler,0
2026,IPL_T20_PBKS,PLY_0706,,Bowler,0
2026,IPL_T20_PBKS,PLY_0741,Vijaykumar Vyshak,Bowler,0
2026,IPL_T20_RR,PLY_0497,Riyan Parag,Batter,0
2026,IPL_T20_RR,PLY_0742,Aman Rao,Batter,0
2026,IPL_T20_RR,PLY_0579,Shubham Dubey,Batter,0
2026,IPL_T20_RR,PLY_0564,Shimron Hetmyer,Batter,1
2026,IPL_T20_RR,PLY_0684,Yashasvi Jaiswal,Batter,0
2026,IPL_T20_RR,PLY_0170,Dhruv Jurel,Wicketkeeper,0
2026,IPL_T20_RR,PLY_0743,Lhuan-dre Pretorius,Wicketkeeper,1
2026,IPL_T20_RR,PLY_0744,Ravi Singh,Batter,0
2026,IPL_T20_RR,PLY_0652,Vaibhav Suryavanshi,Batter,0
2026,IPL_T20_RR,PLY_0183,Donovan Ferreira,Allrounder,1
2026,IPL_T20_RR,PLY_0485,Ravindra Jadeja,Allrounder,0
2026,IPL_T20_RR,PLY_0154,Dasun Shanaka,Allrounder,1
2026,IPL_T20_RR,PLY_0267,Jofra Archer,Bowler,1
2026,IPL_T20_RR,PLY_0745,Brijesh Sharma,Bowler,0
2026,IPL_T20_RR,PLY_0746,Nandre Burger,Bowler,1
2026,IPL_T20_RR,PLY_0639,Tushar Deshpande,Bowler,0
2026,IPL_T20_RR,PLY_0313,Kwena Maphaka,Bowler,1
2026,IPL_T20_RR,PLY_0018,Adam Milne,Bowler,1
2026,IPL_T20_RR,PLY_0747,Sushant Mishra,Bowler,0
2026,IPL_T20_RR,PLY_0748,Vignesh Puthur,Bowler,0
2026,IPL_T20_RR,PLY_0481,Ravi Bishnoi,Bowler,0
2026,IPL_T20_RR,PLY_0530,Sandeep Sharma,Bowler,0
2026,IPL_T20_RR,PLY_0749,Kuldeep Sen,Bowler,0
2026,IPL_T20_RR,PLY_0750,Yash Raj Punja,Bowler,0
2026,IPL_T20_RR,PLY_0690,Yudhvir Singh,Bowler,0
2026,IPL_T20_RCB,PLY_0473,Rajat Patidar,Batter,0
2026,IPL_T20_RCB,PLY_0751,Jordan Cox,Wicketkeeper,1
2026,IPL_T20_RCB,PLY_0627,Tim David,Batter,1
2026,IPL_T20_RCB,PLY_0666,Virat Kohli,Batter,0
2026,IPL_T20_RCB,PLY_0165,Devdutt Padikkal,Batter,0
2026,IPL_T20_RCB,PLY_0437,Phil Salt,Wicketkeeper,1
2026,IPL_T20_RCB,PLY_0264,Jitesh Sharma,Wicketkeeper,0
2026,IPL_T20_RCB,PLY_0239,Jacob Bethell,Allrounder,1
2026,IPL_T20_RCB,PLY_0752,Kanishk Chouhan,Allrounder,0
2026,IPL_T20_RCB,PLY_0655,Venkatesh Iyer,Allrounder,0
2026,IPL_T20_RCB,PLY_0233,Vihan Malhotra,Allrounder,0
2026,IPL_T20_RCB,PLY_0753,Mangesh Yadav,Allrounder,0
2026,IPL_T20_RCB,PLY_0305,Krunal Pandya,Allrounder,0
2026,IPL_T20_RCB,PLY_0506,Romario Shepherd,Allrounder,1
2026,IPL_T20_RCB,PLY_0754,Abhinandan Singh,Bowler,0
2026,IPL_T20_RCB,PLY_0755,Satvik Deswal,Bowler,0
2026,IPL_T20_RCB,PLY_0756,Jacob Duffy,Bowler,1
2026,IPL_T20_RCB,PLY_0273,Josh Hazlewood,Bowler,1
2026,IPL_T20_RCB,PLY_0109,Bhuvneshwar Kumar,Bowler,0
2026,IPL_T20_RCB,PLY_0757,Vicky Ostwal,Bowler,0
2026,IPL_T20_RCB,PLY_0479,Rasikh Salam,Bowler,0
2026,IPL_T20_RCB,PLY_0758,Vicky Ostwal,Bowler,0
2026,IPL_T20_RCB,PLY_0614,Swapnil Singh,Bowler,0
2026,IPL_T20_RCB,PLY_0759,Nuwan Thushara,Bowler,1
2026,IPL_T20_SRH,PLY_0232,Ishan Kishan,Wicketkeeper,0
2026,IPL_T20_SRH,PLY_0760,Salil Arora,Wicketkeeper,0
2026,IPL_T20_SRH,PLY_0636,Travis Head,Batter,1
2026,IPL_T20_SRH,PLY_0225,Heinrich Klaasen,Wicketkeeper,1
2026,IPL_T20_SRH,PLY_0761,Ravichandran Smaran,Batter,0
2026,IPL_T20_SRH,PLY_0057,Aniket Verma,Batter,0
