match_id,season,date,venue_id,team1_id,team2_id,toss_winner_id,toss_decision,first_innings_score,first_innings_wickets,match_stage
IPL2022_MAT_60,2022,13-05-2022,IPL_VEN_04,IPL_T20_PBKS,IPL_T20_RCB,IPL_T20_RCB,Field,209,9,League
IPL2022_MAT_61,2022,14-05-2022,IPL_VEN_16,IPL_T20_KKR,IPL_T20_SRH,IPL_T20_KKR,Bat,177,6,League
IPL2022_MAT_62,2022,15-05-2022,IPL_VEN_25,IPL_T20_CSK,IPL_T20_GT,IPL_T20_CSK,Bat,133,5,League
IPL2022_MAT_63,2022,15-05-2022,IPL_VEN_04,IPL_T20_RR,IPL_T20_LSG,IPL_T20_RR,Bat,178,6,League
IPL2022_MAT_64,2022,16-05-2022,IPL_VEN_05,IPL_T20_DC,IPL_T20_PBKS,IPL_T20_PBKS,Field,159,7,League
IPL2022_MAT_65,2022,17-05-2022,IPL_VEN_25,IPL_T20_SRH,IPL_T20_MI,IPL_T20_MI,Field,193,6,League
IPL2022_MAT_66,2022,18-05-2022,IPL_VEN_05,IPL_T20_LSG,IPL_T20_KKR,IPL_T20_LSG,Bat,210,0,League
IPL2022_MAT_67,2022,19-05-2022,IPL_VEN_25,IPL_T20_GT,IPL_T20_RCB,IPL_T20_GT,Bat,168,5,League
IPL2022_MAT_68,2022,20-05-2022,IPL_VEN_04,IPL_T20_CSK,IPL_T20_RR,IPL_T20_CSK,Bat,150,6,League
IPL2022_MAT_69,2022,21-05-2022,IPL_VEN_25,IPL_T20_DC,IPL_T20_MI,IPL_T20_MI,Field,159,7,League
IPL2022_MAT_70,2022,22-05-2022,IPL_VEN_25,IPL_T20_SRH,IPL_T20_PBKS,IPL_T20_SRH,Bat,157,8,League
IPL2022_MAT_71,2022,24-05-2022,IPL_VEN_07,IPL_T20_RR,IPL_T20_GT,IPL_T20_GT,Field,188,6,Qualifier 1
IPL2022_MAT_72,2022,25-05-2022,IPL_VEN_07,IPL_T20_RCB,IPL_T20_LSG,IPL_T20_LSG,Field,207,4,Eliminator
IPL2022_MAT_73,2022,27-05-2022,IPL_VEN_17,IPL_T20_RCB,IPL_T20_RR,IPL_T20_RR,Field,157,8,Qualifier 2
IPL2022_MAT_74,2022,29-05-2022,IPL_VEN_17,IPL_T20_RR,IPL_T20_GT,IPL_T20_RR,Bat,130,9,Final
