player_id,player_role,opponent_team_id,matches,runs_scored,balls_faced,batting_average,batting_strike_rate,wickets_taken,overs_bowled,bowling_average,bowling_economy
PLY_0560,Bowler,IPL_T20_CSK,1,,,,,0,3,,10
PLY_0560,Bowler,IPL_T20_DC,1,,,,,2,4,12,6
PLY_0560,Bowler,IPL_T20_MI,1,,,,,1,4,20,5
PLY_0560,Bowler,IPL_T20_RCB,1,,,,,2,3,8.5,5.67
PLY_0560,Bowler,IPL_T20_RR,1,,,,,1,3,52,17.33
PLY_0560,Bowler,IPL_T20_SRH,1,0,2,0,0,0,3,,11
PLY_0561,Batter,IPL_T20_CSK,1,3,3,3,100,,,,
PLY_0561,Batter,IPL_T20_DC,1,12,5,12,240,,,,
PLY_0561,Batter,IPL_T20_MI,1,5,7,5,71.43,,,,
PLY_0561,Batter,IPL_T20_RCB,1,0,1,0,0,,,,
PLY_0561,Batter,IPL_T20_RPS,1,10,9,10,111.11,,,,
PLY_0561,Batter,IPL_T20_RR,1,8,8,8,100,,,,
PLY_0561,Batter,IPL_T20_SRH,2,23,24,11.5,95.83,,,,
PLY_0562,Batter,IPL_T20_CSK,3,12,20,4,60,0,2,,9.5
PLY_0562,Batter,IPL_T20_DC,1,43,34,43,126.47,,,,
PLY_0562,Batter,IPL_T20_KKR,1,28,40,28,70,,,,
PLY_0562,Batter,IPL_T20_LSG,2,60,41,30,146.34,,,,
PLY_0562,Batter,IPL_T20_MI,3,70,41,23.33,170.73,,,,
PLY_0562,Batter,IPL_T20_PBKS,2,48,30,48,160,0,1,,5
PLY_0562,Batter,IPL_T20_RCB,2,58,31,58,187.1,1,1,6,6
PLY_0562,Batter,IPL_T20_RR,4,34,24,8.5,141.67,0,1.5,,9.82
PLY_0562,Batter,IPL_T20_SRH,2,44,28,44,157.14,0,1,,11
PLY_0563,Batter,IPL_T20_CSK,16,672,478,48,140.59,,,,
PLY_0563,Batter,IPL_T20_DC,13,355,268,29.58,132.46,,,,
PLY_0563,Batter,IPL_T20_GL,5,127,105,42.33,120.95,,,,
PLY_0563,Batter,IPL_T20_GT,4,106,93,35.33,113.98,,,,
PLY_0563,Batter,IPL_T20_KKR,21,654,533,32.7,122.7,,,,
PLY_0563,Batter,IPL_T20_LSG,3,76,67,25.33,113.43,,,,
PLY_0563,Batter,IPL_T20_MI,18,602,461,40.13,130.59,,,,
PLY_0563,Batter,IPL_T20_PBKS,14,551,383,50.09,143.86,,,,
PLY_0563,Batter,IPL_T20_RCB,17,470,389,29.38,120.82,,,,
PLY_0563,Batter,IPL_T20_RPS,4,138,121,46,114.05,,,,
PLY_0563,Batter,IPL_T20_RR,13,412,287,37.45,143.55,,,,
PLY_0563,Batter,IPL_T20_SRH,12,378,310,37.8,121.94,,,,
PLY_0564,Batter,IPL_T20_CSK,8,140,100,28,140,,,,
PLY_0564,Batter,IPL_T20_DC,4,75,42,75,178.57,,,,
PLY_0564,Batter,IPL_T20_GT,7,172,112,34.4,153.57,,,,
PLY_0564,Batter,IPL_T20_KKR,10,127,84,25.4,151.19,,,,
