player_id,player_name,from_team_id,to_team_id,season
PLY_0559,Shaun Tait,IPL_T20_RR,IPL_T20_KKR,2016
PLY_0560,Sheldon Cottrell,,IPL_T20_PBKS,2020
PLY_0561,Sheldon Jackson,,IPL_T20_KKR,2015
PLY_0562,Sherfane Rutherford,,IPL_T20_DC,2019
PLY_0562,Sherfane Rutherford,IPL_T20_DC,IPL_T20_MI,2020
PLY_0562,Sherfane Rutherford,IPL_T20_MI,IPL_T20_SRH,2021
PLY_0562,Sherfane Rutherford,IPL_T20_SRH,IPL_T20_RCB,2022
PLY_0562,Sherfane Rutherford,IPL_T20_RCB,IPL_T20_KKR,2024
PLY_0562,Sherfane Rutherford,IPL_T20_KKR,IPL_T20_GT,2025
PLY_0562,Sherfane Rutherford,IPL_T20_GT,IPL_T20_MI,2026
PLY_0563,Shikhar Dhawan,,IPL_T20_DC,2007
PLY_0563,Shikhar Dhawan,IPL_T20_DC,IPL_T20_MI,2009
PLY_0563,Shikhar Dhawan,IPL_T20_MI,IPL_T20_SRH,2011
PLY_0563,Shikhar Dhawan,IPL_T20_SRH,IPL_T20_DC,2019
PLY_0563,Shikhar Dhawan,IPL_T20_DC,IPL_T20_PBKS,2022
PLY_0564,Shimron Hetmyer,,IPL_T20_RCB,2019
PLY_0564,Shimron Hetmyer,IPL_T20_RCB,IPL_T20_DC,2020
PLY_0564,Shimron Hetmyer,IPL_T20_DC,IPL_T20_RR,2022
PLY_0565,Shivam Dube,,IPL_T20_RCB,2019
PLY_0565,Shivam Dube,IPL_T20_RCB,IPL_T20_RR,2021
PLY_0565,Shivam Dube,IPL_T20_RR,IPL_T20_CSK,2022
PLY_0566,Shivam Mavi,,IPL_T20_KKR,2018
PLY_0566,Shivam Mavi,IPL_T20_KKR,IPL_T20_GT,2023
PLY_0566,Shivam Mavi,IPL_T20_GT,IPL_T20_SRH,2026
PLY_0567,Shivam Sharma,,IPL_T20_PBKS,2014
PLY_0567,Shivam Sharma,IPL_T20_PBKS,IPL_T20_KKR,2023
PLY_0567,Shivam Sharma,IPL_T20_KKR,IPL_T20_MI,2024
PLY_0567,Shivam Sharma,IPL_T20_MI,IPL_T20_RCB,2025
PLY_0568,Shivam Singh,,IPL_T20_PBKS,2024
PLY_0569,Shivil Kaushik,,IPL_T20_GL,2016
PLY_0575,Shreevats Goswami,,IPL_T20_RCB,2007
PLY_0575,Shreevats Goswami,IPL_T20_RCB,IPL_T20_KKR,2011
PLY_0575,Shreevats Goswami,IPL_T20_KKR,IPL_T20_RR,2012
PLY_0575,Shreevats Goswami,IPL_T20_RR,IPL_T20_SRH,2018
PLY_0576,Shreyas Gopal,,IPL_T20_MI,2014
PLY_0576,Shreyas Gopal,IPL_T20_MI,IPL_T20_RR,2018
PLY_0576,Shreyas Gopal,IPL_T20_RR,IPL_T20_SRH,2022
PLY_0576,Shreyas Gopal,IPL_T20_SRH,IPL_T20_MI,2024
PLY_0576,Shreyas Gopal,IPL_T20_MI,IPL_T20_CSK,2026
PLY_0577,Shreyas Iyer,,IPL_T20_DC,2015
PLY_0577,Shreyas Iyer,IPL_T20_DC,IPL_T20_KKR,2022
PLY_0577,Shreyas Iyer,IPL_T20_KKR,IPL_T20_PBKS,2025
PLY_0579,Shubham Dubey,,IPL_T20_RR,2024
PLY_0580,Shubman Gill,,IPL_T20_KKR,2018
PLY_0580,Shubman Gill,IPL_T20_KKR,IPL_T20_GT,2022
PLY_0581,Siddarth Kaul,,IPL_T20_DC,2013
PLY_0581,Siddarth Kaul,IPL_T20_DC,IPL_T20_SRH,2015
PLY_0581,Siddarth Kaul,IPL_T20_SRH,IPL_T20_RCB,2022
PLY_0584,Siddhesh Lad,,IPL_T20_MI,2015
PLY_0584,Siddhesh Lad,IPL_T20_MI,IPL_T20_KKR,2020
PLY_0585,Sikandar Raza,,IPL_T20_PBKS,2023
PLY_0586,Simarjeet Singh,,IPL_T20_MI,2021
PLY_0586,Simarjeet Singh,IPL_T20_MI,IPL_T20_CSK,2022
PLY_0586,Simarjeet Singh,IPL_T20_CSK,IPL_T20_SRH,2025
PLY_0591,Spencer Johnson,,IPL_T20_GT,2024
PLY_0591,Spencer Johnson,IPL_T20_GT,IPL_T20_KKR,2025
PLY_0591,Spencer Johnson,IPL_T20_KKR,IPL_T20_CSK,2026
PLY_0592,Sreenath Aravind,,IPL_T20_RCB,2011
PLY_0594,Srikar Bharat,,IPL_T20_DC,2015
PLY_0594,Srikar Bharat,IPL_T20_DC,IPL_T20_RCB,2021
PLY_0594,Srikar Bharat,IPL_T20_RCB,IPL_T20_GT,2023
PLY_0594,Srikar Bharat,IPL_T20_GT,IPL_T20_KKR,2024
PLY_0597,Steve Smith,,IPL_T20_PW,2012
PLY_0597,Steve Smith,IPL_T20_PW,IPL_T20_RR,2014
PLY_0597,Steve Smith,IPL_T20_RR,IPL_T20_RPS,2016
PLY_0597,Steve Smith,IPL_T20_RPS,IPL_T20_RR,2019
PLY_0597,Steve Smith,IPL_T20_RR,IPL_T20_DC,2021
PLY_0598,Stuart Binny,,IPL_T20_MI,2009
PLY_0598,Stuart Binny,IPL_T20_MI,IPL_T20_RR,2011
PLY_0598,Stuart Binny,IPL_T20_RR,IPL_T20_RCB,2016
PLY_0598,Stuart Binny,IPL_T20_RCB,IPL_T20_RR,2018
PLY_0601,Sumit Kumar,,IPL_T20_DC,2024
PLY_0601,Sumit Kumar,IPL_T20_DC,IPL_T20_SRH,2026
PLY_0602,Sumit Narwal,,IPL_T20_RR,2009
PLY_0602,Sumit Narwal,IPL_T20_RR,IPL_T20_KKR,2013
PLY_0604,Sunil Narine,,IPL_T20_KKR,2012
PLY_0608,Suresh Raina,,IPL_T20_CSK,2007
PLY_0608,Suresh Raina,IPL_T20_CSK,IPL_T20_GL,2016
PLY_0608,Suresh Raina,IPL_T20_GL,IPL_T20_CSK,2018
PLY_0610,Suryakumar Yadav,,IPL_T20_MI,2012
PLY_0610,Suryakumar Yadav,IPL_T20_MI,IPL_T20_KKR,2014
PLY_0610,Suryakumar Yadav,IPL_T20_KKR,IPL_T20_MI,2018
PLY_0611,Suryansh Shedge,,IPL_T20_PBKS,2025
PLY_0612,Suyash S Prabhudessai,,IPL_T20_RCB,2021
PLY_0614,Swapnil Singh,,IPL_T20_PBKS,2016
PLY_0614,Swapnil Singh,IPL_T20_PBKS,IPL_T20_LSG,2023
PLY_0614,Swapnil Singh,IPL_T20_LSG,IPL_T20_RCB,2024
PLY_0616,T Natarajan,,IPL_T20_PBKS,2017
PLY_0616,T Natarajan,IPL_T20_PBKS,IPL_T20_SRH,2018
PLY_0616,T Natarajan,IPL_T20_SRH,IPL_T20_DC,2025
PLY_0617,Tabraiz Shamsi,,IPL_T20_RCB,2016
